scenario_id,seed,customer_count,vehicle_count,charger_condition,constraint_name,evaluated_route_count,unmet_route_count,case_unmet_rate
C025_V03_CHG_conservative_SPEED25_T480,21,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,21,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,21,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,21,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,22,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,22,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,22,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,22,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,22,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,22,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,22,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,22,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,22,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,23,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,23,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,23,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,23,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,23,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,23,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,23,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,23,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,23,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,24,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,24,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,24,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,24,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,24,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,24,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,24,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,24,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,24,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,25,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,25,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,25,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,25,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,25,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,25,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,25,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,25,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,25,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,26,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,26,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,26,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,26,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,26,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,26,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,26,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,26,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,26,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,27,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,27,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,27,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,27,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,27,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,27,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,27,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,27,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,27,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,28,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,28,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,28,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,28,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,28,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,28,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,28,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,28,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,28,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,29,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,29,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,29,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,29,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,29,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,29,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,29,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,29,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,29,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,30,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,30,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,30,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,30,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,30,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,30,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,30,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,30,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,30,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,31,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,31,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,31,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,31,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,31,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,31,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,31,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,31,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,31,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,32,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,32,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,32,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,32,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,32,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,32,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,32,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,32,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,32,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,33,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,33,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,33,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,33,25,3,balanced,Payload capacity,3,0,0.0
