scenario,city,industry_group,predicted_classical,predicted_quantum,delta_flow,pct_change
high,名古屋,金属素材群,95.99999999999923,96.20375759946872,0.2037575994694925,0.0021224749944738974
high,大阪,化学・高分子素材群,211.99999999999295,212.33918818760478,0.33918818761182945,0.001599944281187928
high,大阪,無機素材群,686.0000000000198,686.3830760169583,0.3830760169384959,0.0005584198497645552
high,大阪,金属素材群,88.00000000000001,88.23550926977707,0.23550926977705477,0.0026762417020119856
high,広島,化学・高分子素材群,87.99999999999983,88.13864650660427,0.1386465066044411,0.0015755284841413794
high,広島,無機素材群,371.0000000000113,371.26102768576055,0.26102768574921953,0.0007035786677876322
high,広島,金属素材群,32.999999999999766,33.07056455207522,0.07056455207545083,0.0021383197598621615
high,札幌,化学・高分子素材群,58.99999999999967,59.11108261803317,0.11108261803349584,0.0018827562378558721
high,札幌,無機素材群,193.00000000000594,193.11592555446072,0.11592555445475972,0.0006006505412163531
high,札幌,金属素材群,20.00000000000069,20.0500227150279,0.050022715027208536,0.0025011357513603405
high,東京,化学・高分子素材群,354.99999999999494,355.38647221539355,0.38647221539863397,0.0010886541278834914
high,東京,無機素材群,872.0000000000242,872.438349114944,0.43834911491976847,0.0005026939391281609
high,東京,金属素材群,294.9999999999991,295.4991576511566,0.4991576511574951,0.001692059834432192
high,福岡,化学・高分子素材群,115.99999999999865,116.16443192722465,0.1644319272259973,0.0014175166140172346
high,福岡,無機素材群,341.00000000001006,341.21021257073687,0.21021257072682076,0.0006164591516915383
high,福岡,金属素材群,76.9999999999995,77.11567537294405,0.11567537294455377,0.0015022775707085002
