scenario_depot_id,hub_id,facility_name,facility_major_type_code,facility_major_type,address_or_municipality,longitude,latitude,depot_priority_rank,scenario_role,selection_rule,limitation
DEP_033,P31_13_0451,府中店,5,truck_terminal_or_parcel_operator_terminal,国立市谷保3158-3,139.428394,35.675214,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_034,P31_13_0452,稲城店,5,truck_terminal_or_parcel_operator_terminal,稲城市百村2130-1,139.492274,35.637747,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_035,P31_13_0453,京浜ターミナル,5,truck_terminal_or_parcel_operator_terminal,大田区平和島2-1-1京浜トラックターミナル15号棟,139.74315,35.587303,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_036,P31_13_0454,足立ターミナル,5,truck_terminal_or_parcel_operator_terminal,足立区入谷6-1-1足立トラックターミナル7・8号棟,139.766861,35.797716,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_037,P31_13_0455,多摩ターミナル,5,truck_terminal_or_parcel_operator_terminal,八王子市滝山町1-214,139.345234,35.692613,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_038,P31_13_0456,東京ターミナル,5,truck_terminal_or_parcel_operator_terminal,江東区新砂2-4-17,139.825807,35.659352,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_039,P31_13_0457,東京空港貨物支店,5,truck_terminal_or_parcel_operator_terminal,大田区羽田空港3-2-7空港貨物上屋E-6棟,139.781316,35.558283,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_040,P31_13_0458,東京支店,5,truck_terminal_or_parcel_operator_terminal,江東区越中島3-6-15,139.798225,35.664969,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_041,P31_13_0459,東京北支店,5,truck_terminal_or_parcel_operator_terminal,北区浮間4-23-1,139.691684,35.786512,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_042,P31_13_0460,羽田営業所,5,truck_terminal_or_parcel_operator_terminal,大田区本羽田1-18-3,139.72637,35.547194,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_043,P31_13_0461,品川支店,5,truck_terminal_or_parcel_operator_terminal,品川区八潮3-3-9,139.760686,35.585957,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_044,P31_13_0462,深川支店、;東京千代田店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂1-13-6,139.821574,35.656081,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_045,P31_13_0463,八王子支店,5,truck_terminal_or_parcel_operator_terminal,八王子市石川町2970-5,139.37206,35.673582,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_046,P31_13_0464,東久留米営業所,5,truck_terminal_or_parcel_operator_terminal,東久留米市前沢5-31-4,139.508686,35.739666,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
