mesh_code,total_population,total_households,htksyori,htksaki
533923553,3338,1874,0,
533923554,4518,2497,0,
533923561,3354,1943,0,
533923562,2372,959,0,
533923563,1667,928,0,
533923564,2966,1552,0,
533923571,2743,1155,0,
533923572,2100,939,0,
533923573,2347,900,0,
533923574,2280,889,0,
533923581,1373,536,0,
533923583,2063,809,0,
533923584,349,122,0,
533923634,451,300,0,
533923641,1076,511,0,
533923642,2510,1058,0,
533923643,3404,1712,0,
533923644,2842,1350,0,
533923651,3583,2171,0,
533923652,3580,1996,0,
533923653,1612,832,0,
533923654,2548,1262,0,
533923661,3390,1510,0,
533923662,2402,965,0,
533923663,2339,1079,0,
533923664,2354,1097,0,
533923671,1930,732,0,
533923672,1655,632,0,
533923673,2498,1032,0,
533923674,1787,754,0,
533923681,2448,957,0,
533923682,260,100,0,
533923683,1993,852,0,
533923684,137,51,0,
533923731,188,74,0,
533923732,2545,1602,0,
533923733,1207,505,0,
533923734,2218,960,0,
533923741,2411,1050,0,
533923742,2124,905,0,
533923743,2834,1696,0,
533923744,2565,1570,0,
533923751,2045,816,0,
533923752,2178,957,0,
533923753,2468,1374,0,
533923754,1343,593,0,
533923761,2706,1272,0,
533923762,2536,1378,0,
533923763,2015,882,0,
533923764,2327,1231,0,
533923771,2867,1379,0,
533923772,1283,573,0,
533923773,1223,661,1,
533923774,3,1,2,533923773
533923781,1136,480,0,
533923783,18,6,0,
533923822,129,43,0,
533923824,599,238,0,
533923831,1265,484,0,
533923832,2131,812,0,
533923833,1791,688,0,
533923834,1332,542,0,
533923841,2638,1297,0,
533923842,3072,1791,0,
533923843,1584,591,0,
533923844,2383,1289,0,
533923851,1832,858,0,
533923852,1963,1018,0,
533923853,2249,940,0,
533923854,1415,646,0,
533923861,2804,1419,0,
533923862,2357,1180,0,
533923863,1935,950,0,
533923864,2089,826,0,
533923871,766,377,0,
533923873,2128,914,0,
533923874,585,218,0,
533923882,519,210,0,
533923884,1454,506,0,
533923891,75,36,0,
533923892,27,9,0,
533923893,1469,711,0,
533923894,444,135,0,
533923914,3,2,2,533923923
533923921,918,354,0,
533923922,1149,523,0,
533923923,1151,483,1,
533923924,1386,659,0,
533923931,2281,1041,0,
533923932,2069,980,0,
533923933,1759,652,0,
533923934,2254,893,0,
533923941,1164,491,0,
533923942,2453,1104,0,
533923943,1900,764,0,
533923944,1550,590,0,
533923951,1498,634,0,
533923952,279,123,0,
533923953,451,183,0,
533923954,1005,410,0,
533923961,1814,740,0,
533923962,1540,561,0,
533923963,1992,701,0,
533923964,2020,780,0,
533923971,1973,769,0,
533923972,1905,766,0,
533923973,1869,723,0,
533923974,2576,1195,0,
533923982,216,87,0,
533923983,1273,749,0,
533923984,73,47,0,
533923991,926,381,0,
533923992,1939,884,0,
533923993,1244,556,0,
533923994,1832,966,0,
533924803,712,294,0,
533924901,851,426,1,
533924903,9,5,2,533924901
533925463,504,275,0,
533925464,2071,1220,0,
533925473,313,143,0,
533925561,4211,1862,0,
533925562,6385,3223,0,
533925563,1731,809,0,
533925564,7276,3197,0,
533925571,5021,2495,0,
533925572,3903,1948,0,
533925573,5647,3118,0,
533925574,7166,3602,0,
533925581,1280,584,0,
533925582,398,159,0,
533925583,5961,2953,0,
533925584,5250,2332,0,
533925591,338,135,0,
533925592,998,505,0,
533925593,2767,1453,0,
533925594,5769,3339,0,
533925653,60,34,0,
533925654,1562,758,0,
533925661,1480,697,0,
533925662,5891,3081,0,
533925663,7134,3104,0,
533925664,4747,2307,0,
533925671,5518,3384,0,
533925672,6799,3350,0,
533925673,7256,3635,0,
533925674,5393,3454,0,
533925681,7315,4123,0,
533925682,6025,3330,0,
533925683,7141,4274,0,
533925684,6062,3452,0,
533925691,5341,3153,0,
533925692,3255,2127,0,
533925693,5132,2853,0,
533925694,2635,1321,0,
533925742,427,198,0,
533925744,7042,2948,0,
533925751,5340,2530,0,
533925752,5738,3144,0,
533925753,6048,3479,0,
533925754,5205,2979,0,
533925761,5527,3070,0,
533925762,5801,3697,0,
533925763,6117,3408,0,
533925764,8694,5420,0,
533925771,4328,2943,0,
533925772,8368,5738,0,
533925773,5211,3571,0,
533925774,5902,3694,0,
533925781,5483,3151,0,
533925782,6087,2968,0,
533925783,6440,4022,0,
533925784,5904,3318,0,
533925791,5228,2689,0,
533925792,2135,915,0,
533925793,5557,2748,0,
533925794,3842,1865,0,
533925841,2614,972,0,
533925842,4275,2542,0,
533925843,5673,2788,0,
533925844,4132,2489,0,
533925851,6455,3799,0,
533925852,5301,2819,0,
533925853,5668,2916,0,
533925854,5757,3191,0,
533925861,6524,3584,0,
533925862,5973,3324,0,
533925863,6838,3986,0,
533925864,6693,3508,0,
533925871,6944,4103,0,
533925872,6660,3765,0,
533925873,6552,3320,0,
533925874,7454,3507,0,
533925881,6475,4033,0,
533925882,5983,3457,0,
533925883,6918,4170,0,
533925884,8023,4849,0,
533925891,5148,2729,0,
533925892,1461,776,1,
533925893,1562,938,0,
533925894,5,5,2,533925892
533925932,256,152,0,
533925934,2476,1209,0,
533925941,6687,3693,0,
533925942,5762,2927,0,
533925943,3713,1889,0,
533925944,4627,2317,0,
533925951,3796,1682,0,
533925952,5279,2460,0,
533925953,4391,2058,0,
533925954,5555,2477,0,
533925961,4480,2212,0,
533925962,3330,1614,0,
533925963,2672,1482,0,
533925964,4818,2170,0,
533925971,5834,2923,0,
533925972,6394,2914,0,
533925973,4641,2269,0,
533925974,6438,3776,0,
533925981,6222,3352,0,
533925982,7339,4534,0,
533925983,7256,4211,0,
533925984,7405,4624,0,
533925991,3620,1744,0,
533925992,128,99,0,
533925993,1598,931,0,
533926501,24,15,0,
533926503,1933,1106,0,
533926601,856,793,0,
533926701,315,55,0,
533931394,24,9,0,
533931492,80,6,1,
533931493,3,2,2,533931492
533931591,1,1,2,533931492
533931683,13,5,0,
533931684,36,14,0,
533931693,15,4,0,
533931694,60,28,0,
533931942,3,1,2,533931944
533931944,10,3,1,
533931953,40,20,0,
533931993,78,2,2,533931994
533931994,192,45,1,
533932183,22,9,0,
533932184,746,373,0,
533932192,500,206,0,
533932193,1140,511,0,
533932194,2188,850,0,
533932234,532,290,0,
533932243,959,431,0,
533932244,656,264,0,
533932253,766,315,0,
533932254,607,295,0,
533932261,197,109,0,
533932262,12,7,2,533932264
533932263,1914,970,0,
533932264,1456,686,1,
533932271,81,34,0,
533932272,1178,555,0,
533932273,1327,594,0,
533932274,1871,650,0,
533932281,1370,571,0,
533932282,3206,1298,0,
533932283,2702,965,0,
533932284,2149,746,0,
533932291,3171,1330,0,
533932292,381,202,0,
533932293,916,326,0,
533932294,22,8,0,
533932302,8,1,2,533932303
533932303,11,5,1,
533932304,9,4,2,533932303
533932324,153,64,0,
533932331,83,40,0,
533932332,1158,457,0,
533932333,174,88,0,
533932334,46,17,0,
533932341,60,25,0,
533932342,70,25,0,
533932343,33,13,0,
533932351,354,122,1,
533932352,322,111,0,
533932353,82,2,2,533932351
533932354,29,10,0,
533932361,1347,542,0,
533932362,579,271,0,
533932364,81,39,0,
533932371,942,408,0,
533932372,352,116,0,
533932373,30,17,0,
533932374,264,145,0,
533932381,115,35,0,
533932382,1449,423,0,
533932383,490,225,0,
533932384,1147,385,0,
533932391,4431,1598,0,
533932392,1727,535,0,
533932393,3004,1107,0,
533932394,4566,1814,0,
533932401,9,4,2,533932402
533932402,83,37,1,
533932411,51,21,0,
533932413,28,15,0,
533932422,113,12,0,
533932424,460,78,0,
533932431,5,1,2,533932432
533932432,156,66,1,
533932433,105,97,0,
533932434,176,72,0,
533932441,864,407,0,
533932442,43,17,0,
533932443,1170,519,0,
533932444,1823,849,0,
533932451,1204,350,0,
533932452,2120,657,0,
533932453,1801,560,0,
533932454,2706,879,0,
533932461,1552,480,0,
533932462,65,25,0,
533932463,1378,683,0,
533932464,285,97,0,
533932471,15,4,1,
533932472,2,1,2,533932471
533932473,238,26,0,
533932474,3,1,2,533932471
533932481,57,32,0,
533932482,467,153,0,
533932483,537,232,0,
533932484,109,46,0,
533932491,1233,508,0,
533932492,2441,982,0,
533932493,415,176,0,
533932494,1186,574,0,
533932503,2,2,2,533932511
533932504,278,4,2,533932511
533932511,76,31,1,
533932512,8,4,0,
533932513,65,23,0,
533932514,134,57,0,
533932522,1536,873,0,
533932523,775,323,0,
533932524,960,496,0,
533932531,1034,682,0,
533932532,966,367,0,
533932533,102,65,0,
533932534,534,202,0,
533932541,1322,445,0,
533932542,1041,416,0,
533932543,1035,386,0,
533932544,945,366,0,
533932551,1789,586,0,
533932552,3307,1200,0,
533932553,1093,448,0,
533932554,1947,712,0,
533932561,2580,1212,0,
533932562,346,175,0,
533932563,2968,801,0,
533932564,843,340,0,
533932571,84,39,0,
533932572,1049,412,0,
533932573,1228,519,0,
533932574,1506,628,0,
533932581,1863,796,0,
533932582,474,182,0,
533932583,2126,852,0,
533932584,1652,699,0,
533932591,318,92,0,
533932592,189,74,0,
533932593,697,278,0,
533932594,1333,468,0,
533932601,94,2,2,533932603
533932603,177,38,1,
533932604,144,59,0,
533932612,342,164,0,
533932613,531,251,0,
533932614,1188,489,0,
533932621,379,169,0,
533932622,1517,696,0,
533932623,1076,492,0,
533932624,2735,1121,0,
533932631,2569,1165,0,
533932632,1801,831,0,
