ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at
17720,17961,日本橋兜町パーキング,35.68126594,139.7768536,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17105,17346,日産プリンス東京販売亀戸店,35.69667935,139.843689,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17128,17369,日産プリンス東京販売成城店,35.63320407,139.5981318,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17119,17360,日産プリンス東京販売江戸川店,35.70605659,139.8700947,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17118,17359,日産プリンス東京販売江東店,35.67322894,139.835588,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17116,17357,日産プリンス東京販売池上店,35.57887279,139.7009646,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17120,17361,日産プリンス東京販売王子店,35.75062469,139.7478806,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17112,17353,日産プリンス東京販売荻窪店,35.71198187,139.6047387,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17100,17341,日産プリンス東京販売足立店,35.78501086,139.8032272,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17096,17337,日産プリンス東京販売鮫洲店,35.60626789,139.7473956,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17109,17350,日産プリンス東京販売２４６上馬店,35.63341906,139.662532,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17121,17362,日産プリンス西東京販売三鷹店,35.69051968,139.5702981,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17083,17324,日産プリンス西東京販売久留米店,35.73983276,139.5076844,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
