origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
13,東京都,37,香川県,1,農水産品・食料工業品,10.3546955,28.00963394,0.0,6.23,"Agricultural, marine, and food products",Tokyo outbound,37,香川県,10.3546955,28.00963394,0.0,6.23
13,東京都,38,愛媛県,1,農水産品・食料工業品,1.747165323,12.9370201,0.0,0.0,"Agricultural, marine, and food products",Tokyo outbound,38,愛媛県,1.747165323,12.9370201,0.0,0.0
13,東京都,39,高知県,1,農水産品・食料工業品,11.39671685,9.797459783,0.0,0.0,"Agricultural, marine, and food products",Tokyo outbound,39,高知県,11.39671685,9.797459783,0.0,0.0
13,東京都,40,福岡県,1,農水産品・食料工業品,194.1009523,303.8054071,0.0,2.125,"Agricultural, marine, and food products",Tokyo outbound,40,福岡県,194.1009523,303.8054071,0.0,2.125
13,東京都,41,佐賀県,1,農水産品・食料工業品,116.5557727,115.6731795,6.23,18.69,"Agricultural, marine, and food products",Tokyo outbound,41,佐賀県,116.5557727,115.6731795,6.23,18.69
13,東京都,42,長崎県,1,農水産品・食料工業品,5.221332772,95.90299184,6.23,1.733333333,"Agricultural, marine, and food products",Tokyo outbound,42,長崎県,5.221332772,95.90299184,6.23,1.733333333
13,東京都,43,熊本県,1,農水産品・食料工業品,15.92628664,63.45686393,0.0,4.818181818,"Agricultural, marine, and food products",Tokyo outbound,43,熊本県,15.92628664,63.45686393,0.0,4.818181818
13,東京都,44,大分県,1,農水産品・食料工業品,3.613370968,193.4272727,0.0,19.27272727,"Agricultural, marine, and food products",Tokyo outbound,44,大分県,3.613370968,193.4272727,0.0,19.27272727
13,東京都,45,宮崎県,1,農水産品・食料工業品,5.235153846,381.4541126,0.0,44.77545455,"Agricultural, marine, and food products",Tokyo outbound,45,宮崎県,5.235153846,381.4541126,0.0,44.77545455
13,東京都,46,鹿児島県,1,農水産品・食料工業品,16.23678893,553.5782131,0.0,17.27818182,"Agricultural, marine, and food products",Tokyo outbound,46,鹿児島県,16.23678893,553.5782131,0.0,17.27818182
13,東京都,47,沖縄県,1,農水産品・食料工業品,282.9545858,31.86353214,6.23,6.23,"Agricultural, marine, and food products",Tokyo outbound,47,沖縄県,282.9545858,31.86353214,6.23,6.23
13,東京都,90,全国,1,農水産品・食料工業品,1325.995138,2603.54259,32.38884462,211.375,"Agricultural, marine, and food products",Tokyo outbound,90,全国,1325.995138,2603.54259,32.38884462,211.375
13,東京都,92,東北,1,農水産品・食料工業品,81.43113597,1450.61235,0.0,96.79245283,"Agricultural, marine, and food products",Tokyo outbound,92,東北,81.43113597,1450.61235,0.0,96.79245283
13,東京都,93,海外,1,農水産品・食料工業品,518.6291811,7798.313927,6.933333333,8.335483871,"Agricultural, marine, and food products",Tokyo outbound,93,海外,518.6291811,7798.313927,6.933333333,8.335483871
13,東京都,94,不特定,1,農水産品・食料工業品,7383.260925,433.3333333,86.66666667,52.0,"Agricultural, marine, and food products",Tokyo outbound,94,不特定,7383.260925,433.3333333,86.66666667,52.0
