ocm_id,title,latitude,longitude,town,postcode,operator,usage_type,status_type,connection_count,connection_types,max_power_kw,is_fast_charger_proxy,source,downloaded_at
17142,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅ川崎ＳＳ,35.52258427,139.6954593,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17157,ＥＮＥＯＳ　Ｖａｌｕｅ５市が尾店,35.54387107,139.5474845,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17107,ＥＮＥＯＳ　Ｖａｌｕｅ５東京インター店,35.62588868,139.6266936,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17703,ＮＴＴル・パルク東五反田第２駐車場,35.63245359,139.7252296,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
55060,GINZA KABUKIZAパーキング,35.6697366,139.76805330000002, 東京,104-0061,,,,1,,,no,Open Charge Map,2026-07-04
5714,Tesla Aoyama Showroom,35.6704409673614,139.718670845031,Aoyama,,,,,1,,16.8,no,Open Charge Map,2026-07-04
62638,中原街道,35.534412,139.585831,三浦郡,224-0037,,,,2,,50.0,yes,Open Charge Map,2026-07-04
62639,横浜生田線,35.54253,139.599197,三浦郡,224-0025,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62653,イオンレイクタウン kaze - mori 連絡通路,35.879295,139.828262,北葛飾郡,3400011,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62654,大谷本郷さいたま線,35.884094,139.626099,北足立郡,3300061,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62651,第2産業道路,35.871063,139.684143,北足立郡,3300061,,,,1,,50.0,yes,Open Charge Map,2026-07-04
55020,パレスホテル,35.68465,139.761435,千代田区,100-0005,,,,1,,,no,Open Charge Map,2026-07-04
55136,丸の内トラストタワー,35.6825268,139.76942510000003,千代田区,100-0005,,,,1,,,no,Open Charge Map,2026-07-04
62644,首都高速1号上野線,35.683239,139.778061,千代田区,101-0041,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62643,第一京浜,35.647057,139.748703,南青山六丁目,108-0014,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62640,東京湾岸道路,35.546951,139.790527,大田区,,,,,1,,50.0,yes,Open Charge Map,2026-07-04
47505,EVテクニカ,35.625873,139.546089,"川崎市,",214-0038,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62646,中央通り,35.691586,139.697769,新宿区,163-0676,,,,2,,50.0,yes,Open Charge Map,2026-07-04
62645,副10,35.688072,139.69342,新宿区,163-8001,,,,1,,50.0,yes,Open Charge Map,2026-07-04
5701,ウェスティンホテル東京,35.6415162,139.7153641,東京,153-8580,,,,1,,16.8,no,Open Charge Map,2026-07-04
