Deleted path,SHA-256,Size,Modified date,Git status,Latest retained,Reason,Deletion timestamp,Result
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/949_20260711_v02_data_source_api_rule_registry.csv,b9d3725added75130f21f04007c3ea70de16f137d2bf3adcbd2e07cda8bc550c,9619,2026-07-12T04:52:46.329755,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/931_20260706_v03_problem_structure_social_instance_mapping.csv,9eb8f15a6079795b609d2e32c3ac405cd1bc47cfb1bfa0d9e2c7c0cc7604df33,4645,2026-07-06T12:08:22.681951,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/903_20260705_v03_evrp_benchmark_instance_summary.csv,79356f4d40714140ccd59d613d0e09b744125ff61d70e87fd131de8275df4691,1400,2026-07-05T00:10:02.325012,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/915_20260711_v03_feasibility_summary_by_scenario.csv,ac64d786ec743c21d5857b5e3a539b17d620c3f4cfa000163d24dbec354745db,4151,2026-07-11T12:41:54.149038,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/948_20260711_v03_tokyo_evrp_scenario_design_consistency_check.csv,0061e4fa09641b1161c85719cf36f44e563d16ee32216116a0297c95aac5cdb7,1852,2026-07-11T11:30:27.203845,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/944_20260711_v02_bottleneck_to_evidence_gap_matrix.csv,42428571d7841eb4b99507ce9112a473679f014675744140ea20ee6ab6e355d1,2880,2026-07-11T12:41:58.250007,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/946_20260711_v03_tokyo_evrp_route_proxy_results.csv,83edac54d1ea296e11db548b0c6650079ed1680c95c2f03626f1654561dc0323,745637,2026-07-11T12:41:52.481899,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/913_20260711_v03_feasibility_results_by_seed.csv,42c8733447276aa5a6859c36863207eb1d243f14b8ccdbdc82c42071bd614819,88153,2026-07-11T12:41:53.376986,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/912_20260711_v03_feasibility_regression_coefficients.csv,add2a1fed432afa4554636682034a2fe96c3c8f1ecd9159238671b9ad46f2247,905,2026-07-11T12:41:56.273203,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/943_20260711_v02_benchmark_design_implications.csv,d0285b6942df5b5002f9424e8c3ff03f91c15ea0b8815eb0edd76eadbf49e259,1824,2026-07-11T12:41:58.871016,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/949_20260711_v03_tokyo_evrp_scenario_design_generation_trace.csv,2940ba0e98c0493adcc8d89f65baf44b898bb0a1a11520f91b27c7beed626c13,3526,2026-07-12T04:52:46.747332,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/902_20260705_v03_evrp_benchmark_instance_fields.csv,6aaa9d0aa64bf3a75b3fb5dfe5465ed61c3e4f8071b5e2cc74026f044ad181cc,49543,2026-07-12T04:52:46.773929,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/942_20260711_v03_tokyo_evrp_distance_proxy_by_customer.csv,a6d3ed9883e29077c7429315c21a31276d84b6df495542ca02a235c30b7d41ed,38154569,2026-07-11T12:41:50.879943,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/918_20260711_v03_monte_carlo_unmet_rates_long.csv,8bdec7dec2742a982526480017d48808004704770b227488c2664d8db3d44a78,575050,2026-07-11T12:20:18.226081,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
