scenario_route_proxy_id,charger_condition,nearest_charger_distance_km
C025_V03_CHG_conservative_SPEED25_T480__S009_R03,conservative,2.1363411673269637
C025_V05_CHG_balanced_SPEED25_T480__S009_R01,balanced,0.3327784868776917
C025_V05_CHG_broad_SPEED25_T480__S009_R01,broad,0.3327784868776917
C025_V05_CHG_conservative_SPEED25_T480__S009_R01,conservative,2.1363411673269637
C025_V05_CHG_balanced_SPEED25_T480__S009_R02,balanced,1.428139262949616
C025_V05_CHG_broad_SPEED25_T480__S009_R02,broad,1.428139262949616
C025_V05_CHG_conservative_SPEED25_T480__S009_R02,conservative,2.478270558279743
C025_V05_CHG_balanced_SPEED25_T480__S009_R03,balanced,0.8725366078528624
C025_V05_CHG_broad_SPEED25_T480__S009_R03,broad,0.8725366078528624
C025_V05_CHG_conservative_SPEED25_T480__S009_R03,conservative,1.999033186906228
C025_V05_CHG_balanced_SPEED25_T480__S009_R04,balanced,2.6832335646887477
C025_V05_CHG_broad_SPEED25_T480__S009_R04,broad,2.6832335646887477
C025_V05_CHG_conservative_SPEED25_T480__S009_R04,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S009_R05,balanced,0.2697296211981738
C025_V05_CHG_broad_SPEED25_T480__S009_R05,broad,0.2697296211981738
C025_V05_CHG_conservative_SPEED25_T480__S009_R05,conservative,3.997484443603043
C025_V01_CHG_balanced_SPEED25_T480__S010_R01,balanced,0.6601071518432476
C025_V01_CHG_broad_SPEED25_T480__S010_R01,broad,0.6601071518432476
C025_V01_CHG_conservative_SPEED25_T480__S010_R01,conservative,1.7343592651695778
C025_V03_CHG_balanced_SPEED25_T480__S010_R01,balanced,0.969894924640146
C025_V03_CHG_broad_SPEED25_T480__S010_R01,broad,0.969894924640146
C025_V03_CHG_conservative_SPEED25_T480__S010_R01,conservative,1.7343592651695778
C025_V03_CHG_balanced_SPEED25_T480__S010_R02,balanced,0.6601071518432476
C025_V03_CHG_broad_SPEED25_T480__S010_R02,broad,0.6601071518432476
C025_V03_CHG_conservative_SPEED25_T480__S010_R02,conservative,2.6862583476109254
C025_V03_CHG_balanced_SPEED25_T480__S010_R03,balanced,0.8773129125633494
C025_V03_CHG_broad_SPEED25_T480__S010_R03,broad,0.8773129125633494
C025_V03_CHG_conservative_SPEED25_T480__S010_R03,conservative,2.0569633657701547
C025_V05_CHG_balanced_SPEED25_T480__S010_R01,balanced,0.6601071518432476
C025_V05_CHG_broad_SPEED25_T480__S010_R01,broad,0.6601071518432476
C025_V05_CHG_conservative_SPEED25_T480__S010_R01,conservative,2.6862583476109254
C025_V05_CHG_balanced_SPEED25_T480__S010_R02,balanced,0.8773129125633494
C025_V05_CHG_broad_SPEED25_T480__S010_R02,broad,0.8773129125633494
C025_V05_CHG_conservative_SPEED25_T480__S010_R02,conservative,2.0569633657701547
C025_V05_CHG_balanced_SPEED25_T480__S010_R03,balanced,0.7651303590580667
C025_V05_CHG_broad_SPEED25_T480__S010_R03,broad,0.7651303590580667
C025_V05_CHG_conservative_SPEED25_T480__S010_R03,conservative,5.459435905080584
C025_V05_CHG_balanced_SPEED25_T480__S010_R04,balanced,1.7073751033738558
C025_V05_CHG_broad_SPEED25_T480__S010_R04,broad,1.7073751033738558
C025_V05_CHG_conservative_SPEED25_T480__S010_R04,conservative,1.7343592651695778
C025_V05_CHG_balanced_SPEED25_T480__S010_R05,balanced,1.7073751033738558
C025_V05_CHG_broad_SPEED25_T480__S010_R05,broad,1.7073751033738558
C025_V05_CHG_conservative_SPEED25_T480__S010_R05,conservative,9.123655509180232
C025_V01_CHG_balanced_SPEED25_T480__S011_R01,balanced,0.1352104639503605
C025_V01_CHG_broad_SPEED25_T480__S011_R01,broad,0.1352104639503605
C025_V01_CHG_conservative_SPEED25_T480__S011_R01,conservative,1.6670825761522243
C025_V03_CHG_balanced_SPEED25_T480__S011_R01,balanced,0.8146639908084297
C025_V03_CHG_broad_SPEED25_T480__S011_R01,broad,0.8146639908084297
C025_V03_CHG_conservative_SPEED25_T480__S011_R01,conservative,1.6670825761522243
C025_V03_CHG_balanced_SPEED25_T480__S011_R02,balanced,2.033967535523844
C025_V03_CHG_broad_SPEED25_T480__S011_R02,broad,2.033967535523844
C025_V03_CHG_conservative_SPEED25_T480__S011_R02,conservative,3.997484443603043
C025_V03_CHG_balanced_SPEED25_T480__S011_R03,balanced,0.1352104639503605
C025_V03_CHG_broad_SPEED25_T480__S011_R03,broad,0.1352104639503605
C025_V03_CHG_conservative_SPEED25_T480__S011_R03,conservative,2.92451771112519
C025_V05_CHG_balanced_SPEED25_T480__S011_R01,balanced,0.8146639908084297
C025_V05_CHG_broad_SPEED25_T480__S011_R01,broad,0.8146639908084297
C025_V05_CHG_conservative_SPEED25_T480__S011_R01,conservative,1.6670825761522243
C025_V05_CHG_balanced_SPEED25_T480__S011_R02,balanced,0.637434153482964
C025_V05_CHG_broad_SPEED25_T480__S011_R02,broad,0.637434153482964
C025_V05_CHG_conservative_SPEED25_T480__S011_R02,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S011_R03,balanced,2.033967535523844
C025_V05_CHG_broad_SPEED25_T480__S011_R03,broad,2.033967535523844
C025_V05_CHG_conservative_SPEED25_T480__S011_R03,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S011_R04,balanced,0.1352104639503605
C025_V05_CHG_broad_SPEED25_T480__S011_R04,broad,0.1352104639503605
C025_V05_CHG_conservative_SPEED25_T480__S011_R04,conservative,2.92451771112519
C025_V05_CHG_balanced_SPEED25_T480__S011_R05,balanced,1.693427715271103
C025_V05_CHG_broad_SPEED25_T480__S011_R05,broad,1.693427715271103
C025_V05_CHG_conservative_SPEED25_T480__S011_R05,conservative,3.0710085865209176
C025_V01_CHG_balanced_SPEED25_T480__S012_R01,balanced,0.2272191655279347
C025_V01_CHG_broad_SPEED25_T480__S012_R01,broad,0.2272191655279347
C025_V01_CHG_conservative_SPEED25_T480__S012_R01,conservative,1.706403358614748
C025_V03_CHG_balanced_SPEED25_T480__S012_R01,balanced,0.2272191655279347
C025_V03_CHG_broad_SPEED25_T480__S012_R01,broad,0.2272191655279347
C025_V03_CHG_conservative_SPEED25_T480__S012_R01,conservative,4.034978326179063
C025_V03_CHG_balanced_SPEED25_T480__S012_R02,balanced,0.7451558019539394
C025_V03_CHG_broad_SPEED25_T480__S012_R02,broad,0.7451558019539394
C025_V03_CHG_conservative_SPEED25_T480__S012_R02,conservative,1.706403358614748
C025_V03_CHG_balanced_SPEED25_T480__S012_R03,balanced,0.7009387263012696
C025_V03_CHG_broad_SPEED25_T480__S012_R03,broad,0.7009387263012696
C025_V03_CHG_conservative_SPEED25_T480__S012_R03,conservative,2.0797652730898433
C025_V05_CHG_balanced_SPEED25_T480__S012_R01,balanced,0.7009387263012696
C025_V05_CHG_broad_SPEED25_T480__S012_R01,broad,0.7009387263012696
C025_V05_CHG_conservative_SPEED25_T480__S012_R01,conservative,2.0797652730898433
C025_V05_CHG_balanced_SPEED25_T480__S012_R02,balanced,0.8240006879950026
C025_V05_CHG_broad_SPEED25_T480__S012_R02,broad,0.8240006879950026
C025_V05_CHG_conservative_SPEED25_T480__S012_R02,conservative,6.422008639943702
C025_V05_CHG_balanced_SPEED25_T480__S012_R03,balanced,1.264807575048941
C025_V05_CHG_broad_SPEED25_T480__S012_R03,broad,1.264807575048941
C025_V05_CHG_conservative_SPEED25_T480__S012_R03,conservative,3.7380341747947576
C025_V05_CHG_balanced_SPEED25_T480__S012_R04,balanced,1.706403358614748
C025_V05_CHG_broad_SPEED25_T480__S012_R04,broad,1.706403358614748
C025_V05_CHG_conservative_SPEED25_T480__S012_R04,conservative,1.706403358614748
C025_V05_CHG_balanced_SPEED25_T480__S012_R05,balanced,0.2272191655279347
C025_V05_CHG_broad_SPEED25_T480__S012_R05,broad,0.2272191655279347
C025_V05_CHG_conservative_SPEED25_T480__S012_R05,conservative,4.034978326179063
C025_V01_CHG_balanced_SPEED25_T480__S013_R01,balanced,0.583204434373936
C025_V01_CHG_broad_SPEED25_T480__S013_R01,broad,0.583204434373936
C025_V01_CHG_conservative_SPEED25_T480__S013_R01,conservative,1.7393905425468423
C025_V03_CHG_balanced_SPEED25_T480__S013_R01,balanced,0.5876786699566682
C025_V03_CHG_broad_SPEED25_T480__S013_R01,broad,0.5876786699566682
C025_V03_CHG_conservative_SPEED25_T480__S013_R01,conservative,3.7788115825421618
C025_V03_CHG_balanced_SPEED25_T480__S013_R02,balanced,2.8278035297587483
C025_V03_CHG_broad_SPEED25_T480__S013_R02,broad,2.8278035297587483
C025_V03_CHG_conservative_SPEED25_T480__S013_R02,conservative,3.997484443603043
C025_V03_CHG_balanced_SPEED25_T480__S013_R03,balanced,0.583204434373936
C025_V03_CHG_broad_SPEED25_T480__S013_R03,broad,0.583204434373936
C025_V03_CHG_conservative_SPEED25_T480__S013_R03,conservative,1.7393905425468423
C025_V05_CHG_balanced_SPEED25_T480__S013_R01,balanced,0.583204434373936
C025_V05_CHG_broad_SPEED25_T480__S013_R01,broad,0.583204434373936
C025_V05_CHG_conservative_SPEED25_T480__S013_R01,conservative,1.7393905425468423
