base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V05_S019_R02,25,5,19,57.41877107975115
C025_V05_S019_R03,25,5,19,85.57635697943556
C025_V05_S019_R04,25,5,19,58.84584571286257
C025_V05_S019_R05,25,5,19,68.25405213261686
C025_V01_S020_R01,25,1,20,217.48989074020457
C025_V03_S020_R01,25,3,20,80.05720642345578
C025_V03_S020_R02,25,3,20,105.80235790035788
C025_V03_S020_R03,25,3,20,79.76503892632755
C025_V05_S020_R01,25,5,20,87.83815671904841
C025_V05_S020_R02,25,5,20,41.2524546313912
C025_V05_S020_R03,25,5,20,82.76716042067537
C025_V05_S020_R04,25,5,20,80.79649883214445
C025_V05_S020_R05,25,5,20,41.20444490079525
C025_V01_S021_R01,25,1,21,255.35230739706068
C025_V03_S021_R01,25,3,21,100.08687161850568
C025_V03_S021_R02,25,3,21,100.48796219425536
C025_V03_S021_R03,25,3,21,75.33619688630094
C025_V05_S021_R01,25,5,21,35.6927691809583
C025_V05_S021_R02,25,5,21,53.02757093768812
C025_V05_S021_R03,25,5,21,70.7382366970974
C025_V05_S021_R04,25,5,21,59.60314889924711
C025_V05_S021_R05,25,5,21,81.22222362669629
C025_V01_S022_R01,25,1,22,270.44471004635375
C025_V03_S022_R01,25,3,22,110.38906199306132
C025_V03_S022_R02,25,3,22,100.34842541124388
C025_V03_S022_R03,25,3,22,95.45649021146497
C025_V05_S022_R01,25,5,22,71.97475038326026
C025_V05_S022_R02,25,5,22,106.443200923027
C025_V05_S022_R03,25,5,22,79.8918931839895
C025_V05_S022_R04,25,5,22,53.209355283046605
C025_V05_S022_R05,25,5,22,53.523424387336185
C025_V01_S023_R01,25,1,23,258.36393549939504
C025_V03_S023_R01,25,3,23,113.91742583477456
C025_V03_S023_R02,25,3,23,84.20326898354409
C025_V03_S023_R03,25,3,23,72.71449870517391
C025_V05_S023_R01,25,5,23,49.02998624335646
C025_V05_S023_R02,25,5,23,81.73374878201852
C025_V05_S023_R03,25,5,23,72.71449870517391
C025_V05_S023_R04,25,5,23,87.02731230142518
C025_V05_S023_R05,25,5,23,48.69672190679413
C025_V01_S024_R01,25,1,24,241.9004264445063
C025_V03_S024_R01,25,3,24,59.344923327594934
C025_V03_S024_R02,25,3,24,99.56238892770337
C025_V03_S024_R03,25,3,24,109.1611594209458
C025_V05_S024_R01,25,5,24,33.70844908181343
C025_V05_S024_R02,25,5,24,107.98063242312728
C025_V05_S024_R03,25,5,24,73.02706775221499
C025_V05_S024_R04,25,5,24,83.47715879791978
C025_V05_S024_R05,25,5,24,50.862665122561864
C025_V01_S025_R01,25,1,25,223.1915385723395
C025_V03_S025_R01,25,3,25,70.50982505685192
C025_V03_S025_R02,25,3,25,90.50608074362644
C025_V03_S025_R03,25,3,25,79.57661850510281
C025_V05_S025_R01,25,5,25,42.94393452013136
C025_V05_S025_R02,25,5,25,88.86635006232518
C025_V05_S025_R03,25,5,25,62.50793006934629
C025_V05_S025_R04,25,5,25,46.56495190331624
C025_V05_S025_R05,25,5,25,41.40624701535838
C025_V01_S026_R01,25,1,26,329.8775051478027
C025_V03_S026_R01,25,3,26,139.88056656112948
C025_V03_S026_R02,25,3,26,90.9576558965562
C025_V03_S026_R03,25,3,26,119.77870559210048
C025_V05_S026_R01,25,5,26,54.77458811003331
C025_V05_S026_R02,25,5,26,119.77870559210048
C025_V05_S026_R03,25,5,26,68.95326072908234
C025_V05_S026_R04,25,5,26,45.00549901184072
C025_V05_S026_R05,25,5,26,90.9576558965562
C025_V01_S027_R01,25,1,27,267.8772308653114
C025_V03_S027_R01,25,3,27,77.39295158307611
C025_V03_S027_R02,25,3,27,84.20061354942914
C025_V03_S027_R03,25,3,27,139.02486374473344
C025_V05_S027_R01,25,5,27,90.17429150223124
C025_V05_S027_R02,25,5,27,57.675112654901966
C025_V05_S027_R03,25,5,27,77.39295158307611
C025_V05_S027_R04,25,5,27,60.95061173559024
C025_V05_S027_R05,25,5,27,56.18189335916614
C025_V01_S028_R01,25,1,28,181.44988847019047
C025_V03_S028_R01,25,3,28,72.63856272151763
C025_V03_S028_R02,25,3,28,72.16277648917747
C025_V03_S028_R03,25,3,28,74.93550105293868
C025_V05_S028_R01,25,5,28,78.33183709257918
C025_V05_S028_R02,25,5,28,46.05866276163441
C025_V05_S028_R03,25,5,28,70.372887132462
C025_V05_S028_R04,25,5,28,33.17989363263444
C025_V05_S028_R05,25,5,28,30.943789200315305
C025_V01_S029_R01,25,1,29,207.73248587319256
C025_V03_S029_R01,25,3,29,74.0565801963295
C025_V03_S029_R02,25,3,29,93.43419223300836
C025_V03_S029_R03,25,3,29,72.86116412724317
C025_V05_S029_R01,25,5,29,81.26293116368159
C025_V05_S029_R02,25,5,29,49.03756330440981
C025_V05_S029_R03,25,5,29,54.12195375643212
C025_V05_S029_R04,25,5,29,51.37673047082493
C025_V05_S029_R05,25,5,29,68.51138703762498
C025_V01_S030_R01,25,1,30,223.33351238134935
C025_V03_S030_R01,25,3,30,74.5217199479358
C025_V03_S030_R02,25,3,30,75.40162134200996
