scenario_id,seed,constraint_name,case_unmet_rate
C025_V03_CHG_conservative_SPEED25_T480,14,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,14,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,14,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,14,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,15,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,15,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,15,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,15,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,15,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,15,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,15,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,15,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,15,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,16,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,16,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,16,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,16,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,16,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,16,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,16,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,16,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,16,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,17,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,17,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,17,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,17,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,17,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,17,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,17,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,17,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,17,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,18,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,18,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,18,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,18,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,18,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,18,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,18,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,18,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,18,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,19,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,19,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,19,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,19,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,19,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,19,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,19,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,19,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,19,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,20,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,20,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,20,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,20,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,20,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,20,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,20,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,20,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,20,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,21,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,21,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,21,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,21,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,21,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,21,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,21,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,21,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,21,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,22,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,22,Payload capacity,0.0
